timestamp,free_spaces,total_spaces,occupancy
2026-09-03T12:21:57-04:00,28,1300,98
2026-09-03T14:31:52-04:00,66,1300,95
2026-09-03T14:44:56-04:00,91,1300,93
2026-09-03T15:00:58-04:00,129,1300,90
2026-09-03T15:20:42-04:00,168,1300,87
2026-09-03T15:25:17-04:00,202,1300,84
2026-09-03T15:30:16-04:00,216,1300,83
2026-09-03T15:35:12-04:00,232,1300,82
2026-09-03T15:40:16-04:00,240,1300,82
2026-09-03T15:45:16-04:00,267,1300,79
2026-09-03T15:50:13-04:00,289,1300,78
2026-09-03T15:55:15-04:00,307,1300,76
2026-09-03T16:00:18-04:00,311,1300,76
2026-09-03T16:05:11-04:00,337,1300,74
2026-09-03T16:10:14-04:00,345,1300,73
2026-09-03T16:15:24-04:00,348,1300,73
2026-09-03T16:20:17-04:00,347,1300,73
2026-09-03T16:25:17-04:00,357,1300,73
2026-09-03T16:30:17-04:00,363,1300,72
2026-09-03T16:35:12-04:00,372,1300,71
2026-09-03T16:40:14-04:00,385,1300,70
